From,Total_Value_IN
0x021d560f408797521cd06c881987ff6dc8f34645,0.1
0x0209a4d48283f7b4767191addf9b70ab785f882d,0.1
0x02013cd3b96c0ff6f9028a113a7856ffa8e3e42c,0.1
0x6ebe9a1d1d5d72d486e424145e84cd01e1729f0e,0.1
0x6eb6fe35d59c915e62632d02066690ca0adc83a4,0.1
0x6ea5fb525cbba3a8ac2776d66a2626e2c38089af,0.1
0x6e99b9516da5cb7209110a46435b1222eddf96e0,0.1
0xc4438399d8a212ea8a5ac27a52effe85355b715b,0.1
0x6ee3be85f55c119420199ac0f29c5a23f024dabb,0.1
0x6ee3323c3b38ea09b0dbd5d46c79a344d63468d9,0.1
0x6edb3471d4e0a90a785d3fb8ebb81fe32c6c25df,0.1
0x6ed1fe1228c5d0f7ab6c741c3a91e2161f4f9add,0.1
0x2d68c0623515fae698417a8698b3470d9738c4b0,0.1
0xe658ed2c559663282655bc1ef7f12283d350f03b,0.1
0x0243d172898cc28e9f79ea1312d731b2c22858d8,0.1
0x023ebd6769d27c565d08a97bde2211ab2228042a,0.1
0x6e76e57d18eb7f60f9f74202addf296ff8d4b894,0.1
0xc49b7f3e92142be8f925aa86eba259deb9909737,0.1
0xc49341dd2e7141790943936d2c35aaa0d0197864,0.1
0xc48e35f4ce28b678224507ac22620210da04fb25,0.1
0x023e09cb0d235b7ee658164739cdea17d3cafcd4,0.1
0xfeb575d661396b7277d1a0354a3ca9f926652bbb,0.1
0xfeaee23c580fbe7f227881b619b548a6a24dd854,0.1
0xa6144dc064f1d5fd6f364b351f21c50aff272541,0.1
0xa60e156cfe32bae390ce1749d5b6cdf47c3f966f,0.1
0xa79badd5497ba85afb904f614667906c133328dc,0.1
0xa7960c9f044194b18af5fb4631f4ca72d8c924a6,0.1
0xc45829a06d9cc51cffba1d77bd98c246efcb3678,0.1
0xc454afb7f1c203ba8000319ea078fa442f42824d,0.1
0x732703d1492e93b33fe064663347244e99bff77c,0.1
0x2d3d3315d639bf260b607c1d4b3bd36d55ebd5e7,0.1
0x2d3abac8f6508930d5cf1b0f4c53212da81c0e5b,0.1
0x2d390ff96c63fc501d70098ada55df965a01c31d,0.1
0x9174dbffe2c3d9eded87935fef872c5805f30785,0.1
0x917393eb75d01c9bab353f9f7eba9e8880e3520a,0.1
0x9166a7d3f7160ced753d2fbf6a4c16b178f44339,0.1
0xb2c5973eae6c2a8e5803aa9a3e0cb177afe11cde,0.1
0x2f2ab75f57c884ce049f97476093a7291e844710,0.1
0xe74be92b2e7f075a7a2ee2df62ea4bd2440fc106,0.1
0xc4c1320bdaa79419295f1e2decab23885df3225c,0.1
0x02517f20ecf336277a008a984f1ae8b7e708120e,0.1
0x024c0f4338a18bf2f9af7ae6df667af44d912365,0.1
0xa5ffeb7adcdd0ff669fb10846a385d14a30b1ad4,0.1
0xa5fe44f89706dbd9526d38771e2a9e215350fe92,0.1
0xa5eb08836212552fc5fd696023f4bf112f5232ec,0.1
0xa5e020b933a08669ac6859b9b30c4aa9f229ce60,0.1
0x734edd3b539df99b9a1b96d7edabec5c2d32dd52,0.1
0x7346848c1a5b643912d9593e2c9dd051c015fcb3,0.1
0x734466e883e7c1d76df3b73191c8c4da6b73652e,0.1
0x73391722fe0e461fe8aebfd9af71316ba88b54f9,0.1
0x7333c69b47680c3e6091b4592d1cd35eaa56ace6,0.1
0x732a61b0894aa76b5522bdb6cf4027b01ad152d4,0.1
0x6e66b3dd45667bc7dcfbd72c42263e77a12940d5,0.1
0x6e61fc542aea2f51a2b5e454943aa343a89d7249,0.1
0x6e51a294658c3f315bbad16c06aff4b40a826810,0.1
0x6e3c7024a76f7edc2f55803c67a13fa521fa3bc7,0.1
0x6e39564ecfd4b5b0ba36cd944a46bca6063cace5,0.1
0xe6606364603b4b8abf2ff2df82c7418bd1192b1b,0.1
0x2d67e2ee449d02ac63d1a0220ab842dc19fc3897,0.1
0x2d64f6539dda515322254d617d0cb14b754cdcf5,0.1
0x2d5638cd145e60a7a89ce0706b88d5107deac3f9,0.1
0x2d50dbcc960bec854227f51f8074e1da28bd4a37,0.1
0x02897589f8bde28b33a22686a7344a1470aa0162,0.1
0x0285eaf0a121d562ba96123c8dae0ce7effd1f29,0.1
